SERVNO,Request Date,Resolved Date,AddrType,Address,CrossStreet,GraffitiType,GraffitiMoniker,GraffitiMoniker2,GraffitiMoniker3,Latitude,Longitude
24247,05/15/2008 12:00:00 AM,06/03/2008 12:00:00 AM,I,    BROADWAY   ROCKFORD IL 61104,  MAGNOLIA ST ROCKFORD IL 61104,Gang, ,,,42.2518,-89.0966
24335,05/16/2008 12:00:00 AM,05/19/2008 12:00:00 AM,I,    NELSON BLVD ROCKFORD IL 61104,  ORANGE ST ROCKFORD IL 61104,Unknown, ,,,42.253,-89.0996
24336,05/16/2008 12:00:00 AM,04/24/2008 12:00:00 AM,I,    BUCKBEE ST ROCKFORD IL 61104,  MAGNOLIA ST ROCKFORD IL 61104,Gang, ,,,42.2529,-89.0966
24337,05/16/2008 12:00:00 AM,05/19/2008 12:00:00 AM,I,    ANDREWS ST ROCKFORD IL 61101,N HINKLEY AVE ROCKFORD IL 61101,Gang, ,,,42.2793,-89.1112
24338,05/16/2008 12:00:00 AM,04/24/2008 12:00:00 AM,I,    HOOKER AVE ROCKFORD IL 61108,  HUNTER AVE ROCKFORD IL 61108,Unknown, ,,,42.2627,-89.0551
24354,05/16/2008 12:00:00 AM,05/19/2008 12:00:00 AM,I,  W RIVERSIDE BLVD ROCKFORD IL 61103,W RIVERSIDE BLVD ROCKFORD IL 61103,Kids, ,,,42.3157,-89.0969
24572,05/20/2008 12:00:00 AM,05/30/2008 12:00:00 AM,I,  S CHURCH ST ROCKFORD IL 61102,  MONTAGUE ST ROCKFORD IL 61102,Gang, ,,,42.2596,-89.1022
24574,05/20/2008 12:00:00 AM,05/23/2008 12:00:00 AM,I,    CORBIN ST ROCKFORD IL 61102,  CUNNINGHAM ST ROCKFORD IL 61102,Gang, ,,,42.2659,-89.1086
24647,05/21/2008 12:00:00 AM,06/03/2008 12:00:00 AM,I,    7TH AVE ROCKFORD IL 61104,  18TH ST ROCKFORD IL 61104,Gang, ,,,42.2594,-89.0619
24651,05/21/2008 12:00:00 AM,06/03/2008 12:00:00 AM,I,    15TH AVE ROCKFORD IL 61104,  MAGNOLIA ST ROCKFORD IL 61104,Gang, ,,,42.2509,-89.0966
24788,05/22/2008 12:00:00 AM,06/03/2008 12:00:00 AM,I,    JORDAN PL ROCKFORD IL 61108,  WIND POINT DR ROCKFORD IL 61108,Kids, ,,,42.2599,-89.0415
24799,05/22/2008 12:00:00 AM,05/22/2008 12:00:00 AM,I,    7TH AVE ROCKFORD IL 61104,  18TH ST ROCKFORD IL 61104,, ,,,42.2594,-89.0619
24862,05/23/2008 12:00:00 AM,06/03/2008 12:00:00 AM,I,    CHERRY ST ROCKFORD IL 61103,N ROCKTON AVE ROCKFORD IL 61103,Gang, ,,,42.277,-89.0969
25089,05/27/2008 12:00:00 AM,05/27/2008 12:00:00 AM,I,    15TH AVE ROCKFORD IL 61104,  CHRISTINA ST ROCKFORD IL 61104,, ,,,42.2509,-89.0979
25094,05/27/2008 12:00:00 AM,06/03/2008 12:00:00 AM,I,    9TH ST ROCKFORD IL 61104,  CHARLES ST ROCKFORD IL 61104,Hip Hop,STRO,,,42.2638,-89.0769
25238,05/28/2008 12:00:00 AM,06/04/2008 12:00:00 AM,I,    JACQUELINE DR ROCKFORD IL 61109,  MERIDAY LN ROCKFORD IL 61109,, ,,,42.2274,-89.0439
25240,05/28/2008 12:00:00 AM,06/30/2008 12:00:00 AM,I,    ALIDA ST ROCKFORD IL 61101,  HALSTED RD ROCKFORD IL 61101,Gang,VICE LORD,,,42.3102,-89.1011
25472,05/30/2008 12:00:00 AM,06/05/2008 12:00:00 AM,I,    ANDREWS ST ROCKFORD IL 61101,  PEACH CT ROCKFORD IL 61101,, ,,,42.2793,-89.1056
25474,05/30/2008 12:00:00 AM,06/02/2008 12:00:00 AM,I,    ANDREWS ST ROCKFORD IL 61101,  PEACH CT ROCKFORD IL 61101,Gang, ,,,42.2793,-89.1056
